Search Object,1,3,5,10,15,20,30
Person in Water,0.0,0.1,0.1,0.1,0.1,0.1,0.1
Raft 1 person,0.4,0.9,1.2,1.6,1.8,1.8,1.8
Raft 4 person,0.5,1.2,1.6,2.2,2.6,2.8,2.8
Raft 6 person,0.5,1.4,1.9,2.7,3.2,3.5,3.5
Raft 8 person,0.6,1.5,2.0,2.8,3.3,3.7,3.7
Raft 10 person,0.6,1.6,2.2,3.1,3.6,4.0,4.0
Raft 15 person,0.6,1.7,2.3,3.3,4.0,4.4,5.0
Raft 20 person,0.6,1.8,2.6,3.8,4.6,5.1,5.9
Raft 25 person,0.6,1.9,2.7,4.1,5.0,5.6,6.4
Power Boat ≤ 15ft,0.5,1.2,1.5,1.9,2.2,2.3,2.3
Power Boat 20ft,0.7,2.0,2.9,4.3,5.2,5.8,5.8
Power Boat 33ft,0.8,2.5,3.9,6.2,7.8,9.0,10.7
Power Boat 53ft,0.8,3.1,5.1,9.2,12.3,14.7,18.5
Power Boat 78ft,0.8,3.3,5.7,10.8,15.0,18.4,23.9
Sail Boat 15ft,0.7,1.9,2.7,3.9,4.7,5.2,5.2
Sail Boat 20ft,0.7,2.2,3.2,4.8,5.9,6.7,6.7
Sail Boat 25ft,0.8,2.4,3.7,5.7,7.1,8.2,8.2
Sail Boat 30ft,0.8,2.7,4.2,6.9,8.7,10.2,12.3
Sail Boat 40ft,0.8,3.0,4.9,8.3,11.3,13.5,16.8
Sail Boat 50ft,0.8,3.1,5.2,9.5,12.7,15.3,19.4
Sail Boat 70ft,0.8,3.2,5.5,10.4,14.1,17.3,22.2
Sail Boat 83ft,0.8,3.3,5.7,11.0,15.2,18.7,24.4
Ship 120ft,0.8,3.4,6.0,12.2,17.4,21.9,29.3
Ship 225ft,0.8,3.4,6.3,13.6,20.4,26.6,37.3
Ship ≥ 300ft,0.8,3.5,6.4,14.3,22.1,29.8,43.8
